name,dob,amt1,amt2
"Brooke English","1915-08-11",9692,1513
"William Noble","1931-06-07",67606,1612
"Maurice Coleman","1919-10-29",96860,5735
"Kyle Wagner","1964-10-13",78771,479
"Garrett Lambert","2007-08-20",6873,5969
"Michael Foster","1991-01-26",66560,1884
"Richard Bird","1989-10-04",31657,2010
"Michael Brown","1966-01-04",21278,5834
"Natasha Rodriguez","2019-02-22",1880,17
"Elizabeth Martin","1961-05-05",66433,3522
"Kenneth Chavez","1999-04-11",74610,340
"Allison Todd","1934-01-13",21012,9285
"Devin Barker","1943-05-12",32548,8693
"Maria Baker","1972-02-17",99271,868
"David Wright","1950-07-03",75899,5638
"Andrew Brock","1981-09-16",56170,6193
"Traci Reed MD","1938-01-27",21551,9017
"Michael Wood","2003-03-31",55867,4019
"Amy Mcclain","2017-11-15",17111,9986
"Michael Decker","1925-05-22",19853,8163
"Ashley Johnson","1950-05-28",32817,2386
"Traci Sawyer","1980-12-23",85040,50
"Chad Burke","1949-06-18",62533,6691
"Victor Hansen","1948-03-31",66444,2493
"Ryan Jenkins","1908-03-04",43516,6127
"Michael Wagner","1999-07-26",88511,6349
"Eric Parker","1918-10-17",22725,6050
"Jennifer Vang","1975-05-30",98564,1551
"Luke Gallagher","1972-10-09",44280,3357
"Ernest Velasquez","2002-03-10",4515,4445
"Pamela Kemp","1921-02-04",90100,6137
"Douglas Allen","1925-11-22",27359,7758
"Victoria George","1904-12-24",35970,6974
"Heather Webb","1987-01-23",79391,6186
"Kevin Mcfarland","1927-05-29",2223,1856
"Tiffany Li","1931-08-01",65564,9647
"Sarah Mcmahon","1928-09-14",52118,4604
"Crystal Moore","1955-09-08",44731,8345
"Frank Huff","1965-04-02",17052,6893
"Matthew Morris","1991-02-09",12071,4004
"James Snow","1930-04-02",60216,5757
"Kimberly Nelson","2007-03-14",99271,6278
"Amanda West","1972-05-01",5444,4871
"Lawrence Reeves","1991-06-08",54705,4965
"Brent Mullins","1971-03-04",29803,6644
"Jamie Robertson","1972-06-30",76118,4103
"Julie Kelley","1958-12-19",89447,1683
"Victoria Hicks","2011-07-06",98155,3163
"Daniel Bond II","1974-09-01",89030,5513
"Alexander Gonzalez","1980-08-05",12016,8954
"Anne Holmes","1957-06-05",28632,5352
"Joseph Kelly","1911-05-10",95500,7234
"Angela Lopez","2013-02-06",98477,9656
"Jessica Wright","1913-11-14",81560,3819
"Richard Mullins","1905-05-01",17473,6257
"Samantha Banks","1944-04-14",83972,9500
"Harold Landry","2008-08-21",68264,4203
"Carrie Reynolds","1940-07-18",50333,2003
"Deborah Rodriguez","1981-11-30",58331,6223
"Jessica Bell","1907-10-04",90917,1211
"William Hunter","1984-03-02",63300,3110
"Russell Hernandez","2008-12-27",65267,1295
"Jennifer Hernandez","1977-03-07",57520,4539
"Angel Walker","1979-07-21",29324,7303
"Heather Austin","1906-07-14",20430,834
"Ethan Wade","2002-10-03",30164,334
"Jared Farley","1932-03-04",43590,7557
"Walter Rivera","1961-08-24",31798,7419
"Melissa Johnson","1949-10-28",41939,5923
"James Berg","2009-03-02",9404,8541
"Allison Trevino","1960-01-24",66985,1891
"Jesus Keith","1923-01-31",38433,8254
"Jordan Wood","1961-06-18",23783,721
"Dr. Courtney Mckinney","1956-12-30",46227,3636
"Kathryn Hamilton","1964-04-24",62120,5617
"Jacob Carr","1906-09-03",48619,7216
"Rodney Moss","1976-04-08",59645,4893
"Ryan Carr","1976-05-23",32710,3598
"Jessica Mcintosh","1920-01-14",76644,6978
"Melissa Hill","1975-02-15",8130,5127
"Luis Gibson","1954-06-29",38867,6650
"Andrew Edwards","1931-07-06",71309,588
"Madison Mckinney","1905-11-03",9292,6656
"Joseph Brown","1931-01-24",33961,6259
"Dana Franco","1935-12-06",77339,8235
"Stephanie Quinn","1987-10-28",87666,1852
"Sandra Douglas","1937-06-21",78107,7075
"Jessica Davis","1966-05-09",97707,1001
"Michael Baker","1980-11-09",73433,4156
"Blake Ortiz","1929-04-27",38342,4999
"Angela Moore","1973-11-25",8336,7139
"Ronald Barnes","1952-12-03",9554,7601
"James Wilson","1980-04-13",10714,4421
"Brian Weber","1920-11-21",9910,206
"Christopher Flores","1977-04-16",41433,8288
"Angela Green","1926-04-27",39290,7871
"Mrs. Heather Andrews","1975-05-26",67533,3870
"Jeremy Allison","1925-05-22",67448,6962
"Melissa Montoya","1994-02-06",62267,3455
"Loretta Gibson","1990-09-13",18655,5632
"Joseph Tanner","1954-09-30",53701,7725
"Kevin Huber","1995-12-24",74466,5383
"Jeremy Smith","1911-05-03",78745,2606
"Sharon Stephens","1959-11-04",37374,2198
"Kelsey Flores","1991-09-13",31415,8063
"Stephanie Pham","1981-07-10",60482,7994
"Christina Perry","1978-04-18",49256,8082
"Christine Crane","1977-08-02",10049,3451
"Alec Martinez","1945-07-14",55731,6455
"Scott Savage PhD","1955-07-28",60687,480
"Diane Johnson","1938-05-08",55819,8489
"Amy Ochoa","1966-08-28",77761,724
"Hailey Baker","1945-04-05",33248,7727
"Kevin Mckinney","1945-10-04",82809,7664
"Craig Miller","1949-10-05",30519,3800
"Robert Ferrell","1998-03-04",38603,9691
"Suzanne Hoover DDS","1964-04-11",37302,4087
"Jasmine Russell","2014-04-10",50807,8736
"Sarah Rodriguez","1953-08-06",6137,6057
"Terri Hill","2018-10-28",48252,8324
"Sydney Warner","1980-11-08",44157,6031
"Joshua Johnson","1949-05-07",34756,1754
"Kevin Pena","2001-08-22",4311,5100
"Teresa Hicks","1948-08-19",15684,1132
"Larry Jefferson","2008-05-10",78916,9315
"Jessica Gonzalez","1982-04-12",21684,3766
"Jennifer Mathis","1961-08-23",55645,2430
"Christine Ford","1982-09-07",92911,208
"Mariah Houston","1985-07-22",66944,1240
"Megan Boyd","1978-09-26",56798,7665
"Robert Page","1910-07-25",66738,204
"Michael Kelly","1995-05-14",68907,6660
"Catherine Morgan","1945-12-14",8565,6361
"Jessica Jackson","1974-02-03",27174,5594
"Tammy Rodriguez","1967-09-17",79381,9195
"Linda Hammond","1928-12-31",86198,6257
"Caleb Hill","1983-09-08",5064,3502
"Tammy Bolton","2019-03-31",87018,371
"Danielle Baker MD","1907-02-08",751,3725
"Denise Cole","1920-10-27",61497,9488
"Richard Bean","2014-12-06",2176,4982
"Teresa Patrick","2005-02-21",17654,8864
"Michelle Wagner","1920-02-29",87236,7664
"Patricia White","2002-03-06",98583,794
"Kimberly Boyd","1910-03-04",53889,2197
"Gregory Santos","1960-11-05",99764,1891
"Kimberly Miller","1922-11-13",54446,2835
"Patrick Sanchez","1995-04-27",84159,2489
"Ryan Alvarado","1964-10-25",64888,4024
"Emily Miller","2015-08-29",97801,8288
"Natasha Garcia","1969-01-11",73889,9526
"Michael Weaver","2012-10-10",10546,649
"Paula Mejia","1942-04-25",29683,2478
"Lauren Smith","1965-06-22",95007,5810
"Timothy Williams","2016-07-27",61103,1929
"Edgar Hernandez","1964-10-08",20994,2001
"Christopher Garza","1928-03-03",87107,8584
"Whitney Martin","2015-12-23",31062,1778
"Eddie Bradshaw","1954-07-24",66686,1602
"Lauren Roberts","1915-08-07",94194,5789
"Bryan Myers","1910-11-13",37648,5781
"Laurie Reyes","1994-07-04",91201,9912
"Alexander Delacruz","1919-08-02",77914,2172
"David Ramirez","1934-02-25",22315,2153
"Donald Hancock","2006-06-23",96503,717
"Jared Haynes","1985-11-11",57832,2429
"Lori Stark","2014-10-30",91806,8420
"Ethan Marshall","1943-03-09",13838,2124
"Joshua Holt","1977-10-10",92994,1864
"Kellie Taylor","2013-10-09",85757,956
"Sarah Mcgee","1950-08-02",47628,6968
"Briana Watson","1904-09-04",73161,283
"Julie Schmidt","1907-09-18",15051,1219
"Anthony Parker","1954-08-21",91396,3387
"Maria Marks","1950-10-12",94829,8399
"Brian Kemp","1959-05-31",93257,8178
"Charles Anderson","1927-01-24",42077,6746
"David Wilkerson","1963-06-10",54847,2718
"Rebecca Powers","2016-01-17",7031,6774
"Joel Bennett","2001-05-12",98408,7747
"Brian Hill","2005-03-11",29359,6951
"Leslie Wilkinson","1915-05-28",76575,8918
"Kerri Garcia","2009-12-22",44227,775
"Jennifer Garrison","1994-03-27",51001,2299
"Brittany Sanchez","1978-12-01",74708,3584
"Kristin Daugherty","2010-12-07",45837,7494
"Andrea Morgan","1945-10-31",66479,1791
"Mark Bowers","1956-08-03",83221,9555
"Emily Sexton","1909-04-12",17711,625
"Steven Boyd","1948-12-29",84081,7775
"Gabrielle Taylor","1933-02-15",85047,2304
"Kyle Valdez","1952-10-31",92024,8493
"Deborah Smith","1948-12-12",19671,6131
"Jack Reed","1937-03-08",81129,1504
"Christine Welch","1960-04-21",98468,9183
"Erin James","1963-12-30",18765,6138
"Terry Jackson","1993-06-07",9807,8726
"Samuel Freeman","2005-08-25",38322,3268
"Matthew Ruiz","2007-11-15",4258,4798
"Brooke Warren DDS","1913-11-28",30220,791
"Andrew Griffith","1985-05-14",13315,5092
"Mark Rogers","1939-02-04",35698,2975
"Catherine Moore","1990-05-26",80379,3807
"Nicole Graham","1943-11-29",79030,3681
"Jamie Murphy","1955-05-31",82655,2361
"Joshua Jones","1912-06-29",60808,9171
"Angela Turner","1919-07-28",66110,9748
"Jessica Hunter","2010-11-02",60748,7289
"Samantha Hall","1963-11-08",29758,9417
"Michael Evans","1991-08-18",27665,2532
"Jonathan Carpenter DDS","1991-08-02",44416,1433
"Robert Hall","2014-10-19",21593,9866
"Gregory Mcmahon","1951-01-20",42701,7454
"Erika Harris","2008-03-28",68739,204
"Lisa Lin","1977-04-24",13356,1744
"Candice Robinson","2005-01-02",70591,4612
"Michael Steele","1908-07-23",37051,2438
"Mandy Lam","1929-02-27",78214,8023
"Patrick Taylor","2015-03-18",10925,43
"Jeffrey Butler","2009-11-10",18435,1602
"Allison Bradley","1935-07-26",74565,5561
"Theresa Smith","1948-12-22",15566,5702
"Ryan Juarez","2006-09-27",69461,2207
"Jeanne Jones","1943-02-10",77829,4748
"Adam Hansen","1985-07-03",26191,8962
"Nancy Burns","1968-03-26",66175,5558
"Erik Ellis","1910-03-17",45740,4041
"Linda Schmidt","1919-09-03",9677,9430
"Charles Luna","1921-07-25",51029,5548
"Stephanie Sanchez","1969-02-25",1292,4427
"Lorraine Holland","2012-04-17",99647,6132
"Kenneth Braun","2007-06-25",86253,9875
"Adriana Maddox","2008-06-11",40810,316
"Ashley Wilkinson","2002-01-16",33709,6702
"Connie Glover MD","2002-02-25",23206,7827
"Mark Spencer DVM","1916-11-15",17452,1117
"Richard Medina","2011-08-26",78983,7706
"Erin Boyd","1962-12-19",18295,4388
"Matthew Lopez","1909-09-11",59619,2122
"Bradley Chandler","1921-06-15",68723,936
"Kerry Smith","1928-12-16",10779,7133
"Terry Williams","1908-12-24",93290,7762
"Kim Casey","2003-11-12",72122,840
"Michael Herman","2017-11-13",63447,884
"Travis Gardner","1937-12-05",95336,8755
"Kimberly Reeves","1949-04-11",44265,2661
"Denise Boyd","1943-06-27",6249,5572
"Monique Nixon","1974-07-03",55853,5889
"James Parker","1963-09-19",45480,5937
"James Campbell","1915-02-09",97989,1180
"Claire Mendez","1933-09-09",78955,242
"Deborah Melendez","1945-11-17",58446,4361
"Robert Arroyo","1924-10-20",94691,467
"Carlos Gamble","1952-07-23",97261,1680
"Jamie Gonzalez","2009-07-13",24092,9387
"Michele Page","2017-01-24",52526,7220
"Lisa Smith","2007-05-26",52592,3002
"Karen Andersen","1958-07-18",93222,9270
"Joshua Moon","1912-07-13",38745,9117
"Preston Ruiz","1958-04-24",3896,5674
"Brenda Allen","1951-03-18",72699,4995
"Paul Bryant","1956-01-30",64144,1227
"Philip Barber","1960-04-11",58477,116
"Leah Wagner","2016-10-08",19350,5732
"Kevin Brown","1936-11-29",24360,3612
"David Flores","1906-07-27",81877,6728
"Jared Ware","1918-06-28",90628,2646
"Dalton Conley","1968-10-24",65367,5876
"Diane Martinez","1907-08-05",63505,3612
"Connor Smith","2006-07-25",82183,323
"Joseph Taylor","1922-09-09",90906,7809
"Brenda Young","1920-12-02",78744,5830
"Darlene Sanchez","1972-01-03",74053,1995
"Heather Gibson","1930-02-14",77023,8139
"Jessica Wilson","1935-08-04",14398,3127
"Kelly Alvarez","1952-09-02",71060,7410
"Elizabeth Mcmahon","1921-10-29",30285,5056
"Alicia Flores","1967-05-25",28830,7715
"Denise Taylor","1956-06-06",74053,3407
"Jeffrey Singleton","2008-12-06",38022,5538
"Troy Velasquez","1966-09-24",78793,2256
"Carrie Webb","1974-01-02",60062,2217
"David Williams","1962-04-28",38703,1331
"Scott Hill","1929-06-02",38507,6519
"Susan Mitchell","2016-01-02",38548,2557
"Paul Lewis","1924-11-20",33049,1284
"Terry Thornton","2008-08-21",76163,8033
"Julie Irwin","1925-04-10",66861,7214
"Scott Tyler","1962-04-18",7533,9946
"Bryan Arellano","1920-04-06",65749,7665
"Megan Smith","1930-04-18",71716,9099
"Roberta Edwards","1923-07-26",12151,44
"Melissa Weeks","1939-04-06",44866,8169
"Charles Rice","1998-11-19",50841,2329
"Jillian Richard","1960-03-19",47356,3052
"Brandon Gomez","1920-05-28",53772,7581
"David Williams","2009-05-23",58672,3319
"Danielle Robertson","1971-03-08",62239,7864
"Julie Hernandez","1936-01-09",27117,5157
"Ryan Leon","1941-12-03",16819,1360
"John Jackson","1996-01-19",10270,1280
"Casey Hanson","2013-12-09",76334,5654
"Emily Tucker","1966-11-21",2290,1761
"Keith Giles","1953-08-16",4381,3851
"Nancy Weaver","2008-10-06",31440,3819
"Victoria Butler","1949-12-09",61319,8694
"Christina Johnson","1958-08-02",14959,7754
"John Thompson","1940-04-02",99584,6312
"Mr. Gregory Wood","1979-10-06",69392,9775
"Sara Petersen","1921-06-07",1746,9060
"John Weber","1944-07-12",6014,1557
"David Randall","1921-10-17",78360,8442
"Grace Bates","1956-11-06",3328,4468
"Erin Rhodes","1945-11-12",1606,7203
"Mrs. Rebecca Wilson MD","1974-12-21",39274,5366
"Kathryn Sullivan","1993-12-17",15313,9383
"William Phillips","1973-11-12",95977,2140
"James Gray","1937-03-03",15115,9730
"Brett Stone","1972-09-18",40804,2973
"Shawn Peterson","1919-03-25",57146,9503
"Jasmine Boone","1927-06-10",44697,8498
"Melissa Hernandez","1915-07-01",93740,9536
"Tyler Foley","1916-09-01",36659,8754
"William Moran","1950-03-08",10824,1802
"Cheryl Clark","1934-01-05",36172,9053
"Mrs. Brittany Sutton","1941-01-05",83455,1940
"Marcus Alvarez","2004-07-14",37142,2137
"Heather Paul","1995-12-09",95593,8272
"Nicole White","1937-01-05",60236,3531
"Michael Lang","2006-01-27",83135,8596
"Judith Martinez","1921-05-02",52538,8259
"Ms. Mary Nelson","1915-06-30",9004,5976
"Nicole Munoz","1916-08-03",50471,3561
"Jennifer Kelley","1973-01-21",36886,2277
"Seth Turner","1909-04-22",77692,478
"Daniel Sanchez","1907-03-19",98475,3597
"Brandon Short","1935-05-29",54237,3467
"Cheryl Benton","1915-08-03",55184,3373
"Keith Rodriguez III","2019-07-15",10875,9858
"Janet Brennan","1938-04-18",48145,93
"Margaret White","1966-12-20",32576,3672
"George Long","1996-10-07",90490,630
"Jamie Pace","1989-11-05",55603,9405
"Kelly Erickson","1990-02-27",75160,56
"Tina Townsend","2015-07-30",32661,2381
"Nicholas Gallagher","1997-11-02",47844,90
"Robert Watkins","1911-07-21",24716,5708
"Daniel Thompson","1968-11-07",58022,1712
"Jamie Meyer","1945-09-05",8138,746
"Jesse Jones","1907-07-18",92824,6137
"James Blackwell","1920-11-04",91392,405
"Joshua Sanders","1938-05-21",76246,5709
"Rachel Williams","1922-03-19",50949,8412
"Mark Yu","1961-12-09",73330,4071
"Crystal Richards","1923-02-27",73890,7572
"Sandra Rogers","1987-12-21",49818,8429
"Ian Haley","1970-09-07",74164,1710
"Rebecca Griffith","2002-07-17",83588,384
"Kevin White","1981-06-09",54973,3470
"Jeffrey Beck","1926-06-02",70946,2015
"Amy Zhang","2002-04-12",10338,2650
"Craig Jennings","1949-08-06",29119,3927
"Raymond Boyd","2016-08-21",41085,3909
"Patrick Jenkins","1956-06-16",62704,7747
"Phyllis Costa","1927-06-10",35315,936
"Benjamin York","1967-12-13",37344,8537
"William Weber","2018-02-08",77527,3863
"Roberto Blair","1991-08-11",92003,2927
"Brandon King","1965-07-25",77978,4460
"Carrie Webster","1906-05-23",86915,8850
"Raymond Mckee","1969-09-26",92280,4888
"Andrew Boyer","1990-05-24",15110,7841
"Mr. David Lozano","1941-10-30",38675,15
"Brenda Gray","1916-10-15",92273,2325
"Mark Forbes","1905-09-04",72091,1629
"Paige Riley","2019-04-19",97596,8688
"Corey Martin","2002-04-25",76941,8920
"Ana Peterson","1952-02-15",16854,5263
"Phillip Roberts","1962-05-18",8161,1137
"Morgan Grimes","1943-10-05",71037,346
"Dana Kaiser","1980-12-04",60603,9397
"Alexander Blair","2000-05-31",99382,8871
"Alicia Mitchell","1943-05-31",92720,5528
"Alexander Walker","1967-08-27",41304,2220
"Donald Stein","2006-04-28",6786,6300
"Richard Young","1971-10-17",58776,7903
"Brandy Wood","1999-01-24",25956,5985
"Amy Morrow","1980-06-13",65123,9959
"Diana Harrison","1970-10-28",77966,4276
"Heather Hoffman","1968-01-26",16402,2230
"Kendra Santos","1930-06-03",51031,6253
"Michael Wood","1918-04-04",81569,7808
"Tamara Sherman","1973-02-15",19619,3959
"David Walker","1940-06-19",26098,650
"Elijah Brown","2008-03-11",98388,5428
"Emily Martinez","1912-04-19",83196,1995
"Sharon Brown","1957-04-17",1573,2385
"Michael Sanchez","1933-11-30",85990,4413
"Daniel Hodge","1981-01-08",22623,7029
"Nancy Ross","1952-04-23",31013,2437
"Heather Stanley","1980-06-18",62617,5567
"Randall Perkins","1934-08-04",55079,4128
"Alan Smith","1917-08-09",4329,2579
"Thomas Wilson","1987-12-21",91576,3132
"Andrew Harris","1916-09-19",77419,2571
"Sharon Bolton","1968-01-08",82981,9883
"Tracy Lewis","1959-12-29",8006,293
"Meagan Bridges","1963-11-23",94056,7543
"Rebecca Washington","2007-11-16",31376,6593
"Jessica Reyes","1953-06-17",94675,4131
"Julie Gordon","1945-06-05",79866,1283
"Michael Mays","1932-09-04",44533,1519
"Jonathan Miller","1961-10-17",22387,521
"Ryan Lyons","1971-12-13",78751,9530
"Raven Moody","1915-08-19",6794,8105
"Andrew Vance","1911-01-13",2236,5512
"Anna Dickerson","1951-01-31",45295,8317
"Mrs. Erin Rodriguez MD","2005-02-17",43552,3996
"William Estrada","1964-08-11",20780,4742
"Carmen Maddox","2012-03-07",43555,1190
"Rebecca Archer","1999-06-03",90839,5253
"Tiffany Wood","1961-04-25",47340,8687
"Bonnie Morales","1930-07-04",66647,1625
"Ronnie Hawkins","1912-11-11",39237,8153
"Troy Jensen","1968-12-24",95085,931
"Jonathan Huffman","1992-08-04",21023,5044
"Anita Hayes","1937-02-11",48080,6022
"Samantha Marsh","2000-12-05",67118,155
"April Martin","1977-09-27",56022,3530
"Mario Molina","2016-04-20",84687,1016
"Laura Dominguez","1992-09-29",71792,3598
"Barbara Lee","1997-07-15",8051,7225
"Linda Mccarthy","1982-11-24",17980,5265
"Dr. Marie Smith","1965-08-14",52403,6291
"Jennifer Cabrera","2008-04-27",48688,7266
"William Luna","1985-03-05",5154,8410
"Sean Nunez","1959-12-25",44455,867
"John Norton","1930-03-12",67671,9410
"Johnathan Pham","2007-01-15",49637,6587
"Logan Orozco","1938-08-20",67942,9428
"Shane Hall","1907-02-10",28999,9559
"Dr. Sara Walter","1989-11-09",89583,5117
"Veronica Baker","1999-06-19",79412,3502
"Matthew Cole","1916-11-17",23636,2507
"Christopher Long","1916-03-29",49112,4699
"Megan Clark","1946-10-06",61967,4861
"Rhonda Thompson","2010-10-08",31599,7278
"Terri Benjamin","1910-01-01",16747,7507
"Stephen Shaffer","1908-04-09",51714,2160
"Heather Hayes","2008-05-31",40647,5482
"Christina Cooper","1963-03-23",74897,8235
"Zachary Mcfarland","2006-02-20",10117,618
"Brian Ellis","1952-04-05",92643,5012
"Dakota Huff","1956-02-21",71205,2389
"Lindsey Butler","1944-02-13",46582,42
"Donna Kirby","1997-09-13",66546,5394
"John Olsen","1960-12-14",25413,1259
"Andrew Johnson","1911-10-21",50255,4491
"Lauren Preston","1953-07-08",4438,6468
"Mary Moyer","1987-10-25",82966,8519
"David Johns","1934-05-25",52854,1639
"Christopher Brown","2013-03-18",16462,5834
"Crystal Martinez","1908-08-29",84150,1338
"Christina Mann","1923-10-03",28545,205
"Kelsey Baxter","2001-07-09",20087,8036
"Alexis Neal","1976-07-03",55228,8654
"Michelle Rivera","2006-12-08",26985,4771
"Tracy Anderson","1919-12-10",40228,480
"Megan Parks","2002-07-21",67428,2754
"Kristen Hernandez","1954-07-24",45872,880
"Mr. Joel Wilson","1907-05-27",58865,9380
"Tracey Lee","1970-10-22",41968,14
"James Gallagher","1926-01-25",22174,6076
"Terri Burnett","2002-12-07",11671,2525
"Michael Grimes","1932-10-02",28914,3936
"Brenda Carpenter","2010-02-03",61169,2878
"Kimberly Marsh","2009-12-24",81467,1555
"Cody Perez","1956-10-30",36231,9917
"Joseph Harvey","1912-06-11",72054,4699
